company,industry,revenue,revenue_prior_year,ebitda,fcf,total_debt,cash,enterprise_value,employees,recurring_revenue_pct,largest_customer_pct,interest_expense,next_earnings_date,ticker
NRC Health,Healthcare Services,137390000.0,143060000.0,30230000.0,20282000.0,90446000.0,3327000.0,564238016.0,357,0.5,0.15,4761000.0,2026-10-26,NRC
"Build-A-Bear Workshop, Inc.",Consumer Products,529832000.0,496404000.0,81378000.0,7098500.0,125511000.0,13601000.0,425428032.0,1200,0.5,0.15,7530660.0,2026-08-27,BBW
Franklin Covey Company,Consumer Products,267067000.0,287233000.0,15700000.0,24626000.0,0.0,11972000.0,182282608.0,1120,0.5,0.15,565000.0,2026-11-04,FC
"Photronics, Inc.",Industrial Tech,849294000.0,866946000.0,299444000.0,29464124.0,3893000.0,672811008.0,1584654080.0,1908,0.5,0.15,55000.0,2026-08-26,PLAB
Huron Consulting Group Inc.,Financial Services,1699143000.0,1521805000.0,220135000.0,151043120.0,865158976.0,32019000.0,3215330816.0,9248,0.5,0.15,51909538.559999995,2026-11-03,HURN
"Forrester Research, Inc.",B2B SaaS,396888000.0,432470000.0,-95279000.0,11562500.0,63991000.0,131432000.0,156838416.0,1361,0.5,0.15,2680000.0,2026-10-29,FORR
"EVI Industries, Inc.",Industrials,446570000.0,389830000.0,23821000.0,7070375.0,63089000.0,6774000.0,310408448.0,900,0.5,0.15,3937000.0,2026-11-09,EVI
"United States Lime & Minerals, ",Industrials,372727000.0,317721000.0,183078000.0,47104248.0,3246000.0,402641984.0,2732141824.0,346,0.5,0.15,194760.0,2026-10-28,USLM
"Mesa Laboratories, Inc.",Healthcare Services,249130000.0,240978000.0,45977000.0,53380124.0,161351008.0,32237000.0,873420544.0,717,0.5,0.15,10692000.0,2026-11-05,MLAB
Asure Software Inc,B2B SaaS,140541000.0,119792000.0,20581000.0,5484625.0,74878000.0,19679000.0,283345696.0,627,0.5,0.15,5056000.0,2026-10-29,ASUR
Perdoceo Education Corporation,Education Technology,846096000.0,681263000.0,264928000.0,184656128.0,113773000.0,734003968.0,1347191552.0,6000,0.5,0.15,6465000.0,2026-11-09,PRDO
"Strategic Education, Inc.",Education Technology,1268220000.0,1219930000.0,244550000.0,154841120.0,106713000.0,128752000.0,1696313984.0,3683,0.5,0.15,6402780.0,2026-11-05,STRA
"Insteel Industries, Inc.",Industrial Tech,647706000.0,529198000.0,72247000.0,-17490876.0,2579000.0,22947000.0,551281024.0,1007,0.5,0.15,52000.0,2026-10-22,IIIN
"UFP Technologies, Inc.",Industrials,602797000.0,504421000.0,111467000.0,34872376.0,136336000.0,9045000.0,2353276160.0,4846,0.5,0.15,9804000.0,2026-11-02,UFPT
Cato Corporation (The),Consumer Products,653812000.0,649806000.0,2601000.0,2925625.0,138628992.0,93765000.0,91579088.0,6700,0.5,0.15,115000.0,2026-11-19,CATO
"OSI Systems, Inc.",Industrial Tech,1785984000.0,1713166000.0,261620000.0,209244624.0,1049841984.0,359832000.0,3926229504.0,7806,0.5,0.15,26224000.0,2026-10-29,OSIS
The Simply Good Foods Company,Consumer Products,1450920000.0,1331321000.0,187446000.0,107168376.0,448464000.0,123884000.0,1172916608.0,328,0.5,0.15,23249000.0,2026-10-22,SMPL
"Resources Connection, Inc.",Financial Services,452006000.0,551331000.0,-19533000.0,37623000.0,22522000.0,82372000.0,74135704.0,591,0.5,0.15,1351320.0,2026-10-07,RGP
McGrath RentCorp,Real Estate Services,944235000.0,910942000.0,350772000.0,68235128.0,589894976.0,4379000.0,3351478016.0,1306,0.5,0.15,30622000.0,2026-10-22,MGRC
"Spok Holdings, Inc.",B2B SaaS,139708000.0,137653000.0,23597000.0,20814624.0,5746000.0,16592000.0,206702624.0,382,0.5,0.15,344760.0,2026-10-28,SPOK
Quanex Building Products Corpor,Industrials,1837641000.0,1277862000.0,-83337000.0,65965624.0,842476992.0,62094000.0,1680447360.0,7071,0.5,0.15,55812000.0,2026-09-03,NX
"ATN International, Inc.",Media & Entertainment,727975000.0,729075000.0,157953000.0,120656248.0,674068992.0,317976000.0,1007743168.0,2100,0.5,0.15,47822000.0,2026-11-09,ATNI
Central Garden & Pet Company,Consumer Products,3129064000.0,3200460000.0,359341000.0,342347872.0,1408593024.0,996710016.0,2884895744.0,6000,0.5,0.15,57697000.0,2026-11-25,CENT
